"id";"nome";"estado_id"
384;"MAURILANDIA DO TOCANTINS";14
385;"MIRACEMA DO TOCANTINS";14
386;"MIRANORTE";14
387;"MONTE DO CARMO";14
388;"MONTE SANTO DO TOCANTINS";14
389;"MOSQUITO";14
390;"MURICILANDIA";14
391;"NATIVIDADE";14
392;"NAZARE";14
393;"NOVA OLINDA";14
394;"NOVA ROSALANDIA";14
395;"NOVO ACORDO";14
396;"NOVO ALEGRE";14
397;"NOVO JARDIM";14
398;"OLIVEIRA DE FATIMA";14
399;"PALMEIRANTE";14
400;"PALMEIROPOLIS";14
401;"PARAISO DO TOCANTINS";14
402;"PARANA";14
403;"PAU D'ARCO";14
404;"PEDRO AFONSO";14
405;"PEIXE";14
406;"PEQUIZEIRO";14
407;"COLMEIA";14
408;"PINDORAMA DO TOCANTINS";14
409;"PIRAQUE";14
410;"PIUM";14
411;"PONTE ALTA DO BOM JESUS";14
412;"PONTE ALTA DO TOCANTINS";14
413;"PORTO ALEGRE DO TOCANTINS";14
414;"PORTO NACIONAL";14
415;"PRAIA NORTE";14
416;"PRESIDENTE KENNEDY";14
417;"PUGMIL";14
418;"RECURSOLANDIA";14
419;"RIACHINHO";14
420;"RIO DA CONCEICAO";14
421;"RIO DOS BOIS";14
422;"RIO SONO";14
423;"SAMPAIO";14
424;"SANDOLANDIA";14
425;"SANTA FE DO ARAGUAIA";14
426;"SANTA MARIA DO TOCANTINS";14
427;"SANTA RITA DO TOCANTINS";14
428;"SANTA ROSA DO TOCANTINS";14
429;"SANTA TEREZA DO TOCANTINS";14
430;"SANTA TEREZINHA DO TOCANT";14
431;"SAO BENTO DO TOCANTINS";14
432;"SAO FELIX DO TOCANTINS";14
433;"SAO MIGUEL DO TOCANTINS";14
434;"SAO SALVADOR DO TOCANTINS";14
435;"SAO SEBASTIAO DO TOCANTIN";14
436;"SAO VALERIO DA NATIVIDADE";14
437;"SILVANOPOLIS";14
438;"SITIO NOVO DO TOCANTINS";14
439;"SUCUPIRA";14
440;"TAGUATINGA";14
441;"TAIPAS DO TOCANTINS";14
442;"TALISMA";14
443;"PALMAS";14
444;"TOCANTINIA";14
445;"TOCANTINOPOLIS";14
446;"TUPIRAMA";14
447;"TUPIRATINS";14
448;"WANDERLANDIA";14
449;"XAMBIOA";14
450;"ACAILANDIA";16
451;"AFONSO CUNHA";16
452;"AGUA DOCE DO MARANHAO";16
453;"ALCANTARA";16
454;"ALDEIAS ALTAS";16
455;"ALTAMIRA DO MARANHAO";16
456;"ALTO ALEGRE DO MARANHAO";16
457;"ALTO ALEGRE DO PINDARE";16
458;"ALTO PARNAIBA";16
459;"AMAPA DO MARANHAO";16
460;"AMARANTE DO MARANHAO";16
461;"ANAJATUBA";16
462;"ANAPURUS";16
463;"APICUM-ACU";16
464;"ARAGUANA";16
465;"ARAIOSES";16
466;"ARAME";16
467;"ARARI";16
468;"AXIXA";16
469;"BACABAL";16
470;"BACABEIRA";16
471;"BACURI";16
472;"BACURITUBA";16
473;"BALSAS";16
474;"BARAO DE GRAJAU";16
475;"BARRA DO CORDA";16
476;"BARREIRINHAS";16
477;"BELAGUA";16
478;"BELA VISTA DO MARANHAO";16
479;"BENEDITO LEITE";16
480;"BEQUIMAO";16
481;"BERNARDO DO MEARIM";16
482;"BOA VISTA DO GURUPI";16
483;"BOM JARDIM";16
484;"BOM JESUS DAS SELVAS";16
485;"BOM LUGAR";16
486;"BREJO";16
487;"BREJO DE AREIA";16
488;"BURITI";16
489;"BURITI BRAVO";16
490;"BURITICUPU";16
491;"BURITIRANA";16
492;"CACHOEIRA GRANDE";16
493;"CAJAPIO";16
494;"CAJARI";16
495;"CAMPESTRE DO MARANHAO";16
496;"CANDIDO MENDES";16
497;"CANTANHEDE";16
498;"CAPINZAL DO NORTE";16
499;"CAROLINA";16
500;"CARUTAPERA";16
501;"CAXIAS";16
502;"CEDRAL";16
503;"CENTRAL DO MARANHAO";16
504;"CENTRO DO GUILHERME";16
505;"CENTRO NOVO DO MARANHAO";16
506;"CHAPADINHA";16
507;"CIDELANDIA";16
508;"CODO";16
509;"COELHO NETO";16
510;"COLINAS";16
511;"CONCEICAO DO LAGO-ACU";16
512;"COROATA";16
513;"CURURUPU";16
514;"DAVINOPOLIS";16
515;"DOM PEDRO";16
516;"DUQUE BACELAR";16
517;"ESPERANTINOPOLIS";16
518;"ESTREITO";16
519;"FEIRA NOVA DO MARANHAO";16
520;"FERNANDO FALCAO";16
521;"FORMOSA DA SERRA NEGRA";16
522;"FORTALEZA DOS NOGUEIRAS";16
523;"FORTUNA";16
524;"GODOFREDO VIANA";16
525;"GONCALVES DIAS";16
526;"GOVERNADOR ARCHER";16
527;"GOVERNADOR EDISON LOBAO";16
528;"GOVERNADOR EUGENIO BARROS";16
529;"GOVERNADOR LUIZ ROCHA";16
530;"GOVERNADOR NEWTON BELLO";16
531;"GOVERNADOR NUNES FREIRE";16
532;"GRACA ARANHA";16
533;"GRAJAU";16
534;"GUIMARAES";16
535;"HUMBERTO DE CAMPOS";16
536;"ICATU";16
537;"IGARAPE DO MEIO";16
538;"IGARAPE GRANDE";16
539;"IMPERATRIZ";16
540;"ITAIPAVA DO GRAJAU";16
541;"ITAPECURU MIRIM";16
542;"ITINGA DO MARANHAO";16
543;"JATOBA";16
544;"JENIPAPO DOS VIEIRAS";16
545;"JOAO LISBOA";16
546;"JOSELANDIA";16
547;"JUNCO DO MARANHAO";16
548;"LAGO DA PEDRA";16
549;"LAGO DO JUNCO";16
550;"LAGO VERDE";16
551;"LAGOA DO MATO";16
552;"LAGO DOS RODRIGUES";16
553;"LAGOA GRANDE DO MARANHAO";16
554;"LAJEADO NOVO";16
555;"LIMA CAMPOS";16
556;"LORETO";16
557;"LUIS DOMINGUES";16
558;"MAGALHAES DE ALMEIDA";16
559;"MARACACUME";16
560;"MARAJA DO SENA";16
561;"MARANHAOZINHO";16
562;"MATA ROMA";16
563;"MATINHA";16
564;"MATOES";16
565;"MATOES DO NORTE";16
566;"MILAGRES DO MARANHAO";16
567;"MIRADOR";16
568;"MIRANDA DO NORTE";16
569;"MIRINZAL";16
570;"MONCAO";16
571;"MONTES ALTOS";16
572;"MORROS";16
573;"NINA RODRIGUES";16
574;"NOVA COLINAS";16
575;"NOVA IORQUE";16
576;"NOVA OLINDA DO MARANHAO";16
577;"OLHO D'AGUA DAS CUNHAS";16
578;"OLINDA NOVA DO MARANHAO";16
579;"PACO DO LUMIAR";16
580;"PALMEIRANDIA";16
581;"PARAIBANO";16
582;"PARNARAMA";16
583;"PASSAGEM FRANCA";16
584;"PASTOS BONS";16
585;"PAULINO NEVES";16
586;"PAULO RAMOS";16
587;"PEDREIRAS";16
588;"PEDRO DO ROSARIO";16
589;"PENALVA";16
590;"PERI MIRIM";16
591;"PERITORO";16
592;"PINDARE MIRIM";16
593;"PINHEIRO";16
594;"PIO XII";16
595;"PIRAPEMAS";16
596;"POCAO DE PEDRAS";16
597;"PORTO FRANCO";16
598;"PORTO RICO DO MARANHAO";16
599;"PRESIDENTE DUTRA";16
600;"PRESIDENTE JUSCELINO";16
601;"PRESIDENTE MEDICI";16
602;"PRESIDENTE SARNEY";16
603;"PRESIDENTE VARGAS";16
604;"PRIMEIRA CRUZ";16
605;"RAPOSA";16
606;"RIACHAO";16
607;"RIBAMAR FIQUENE";16
608;"ROSARIO";16
609;"SAMBAIBA";16
610;"SANTA FILOMENA DO MARANHA";16
611;"SANTA HELENA";16
612;"SANTA INES";16
613;"SANTA LUZIA";16
614;"SANTA LUZIA DO PARUA";16
615;"SANTA QUITERIA DO MARANHA";16
616;"SANTA RITA";16
617;"SANTANA DO MARANHAO";16
618;"SANTO AMARO DO MARANHAO";16
619;"SANTO ANTONIO DOS LOPES";16
620;"SAO BENEDITO DO RIO PRETO";16
621;"SAO BENTO";16
622;"SAO BERNARDO";16
623;"SAO DOMINGOS DO AZEITAO";16
624;"SAO DOMINGOS DO MARANHAO";16
625;"SAO FELIX DE BALSAS";16
626;"SAO FRANCISCO DO BREJAO";16
627;"SAO FRANCISCO DO MARANHAO";16
628;"SAO JOAO BATISTA";16
629;"SAO JOAO DO CARU";16
630;"SAO JOAO DO PARAISO";16
631;"SAO JOAO DO SOTER";16
632;"SAO JOAO DOS PATOS";16
633;"SAO JOSE DE RIBAMAR";16
634;"SAO JOSE DOS BASILIOS";16
635;"SAO LUIS";16
636;"SAO LUIS GONZAGA DO MARAN";16
637;"SAO MATEUS DO MARANHAO";16
638;"SAO PEDRO DA AGUA BRANCA";16
639;"SAO PEDRO DOS CRENTES";16
640;"SAO RAIMUNDO DAS MANGABEI";16
641;"SAO RAIMUNDO DO DOCA BEZE";16
642;"SAO ROBERTO";16
643;"SAO VICENTE FERRER";16
644;"SATUBINHA";16
645;"SENADOR ALEXANDRE COSTA";16
646;"SENADOR LA ROCQUE";16
647;"SERRANO DO MARANHAO";16
648;"SITIO NOVO";16
649;"SUCUPIRA DO NORTE";16
650;"SUCUPIRA DO RIACHAO";16
651;"TASSO FRAGOSO";16
652;"TIMBIRAS";16
